-674, 787
-578, -464
149, -34
340, 733
493, -588
-362, 456
693, 30
77, -223
-784, -97
364, -622
-115, 693
-534, -758
776, 286
-339, 404
271, 396
606, -371
428, 750
341, -647
-369, 416
569, 381
-423, -99
-577, -483
-193, -621
-643, 198
199, -381
715, -245
509, 637
-212, -454
367, -389
219, -237
-128, -781
-266, 258
211, 612
-28, 354
749, 297
249, -515
-615, -720
-379, 332
41, -639
-633, 22
292, 146
697, -216
31, -781
372, -216
400, 97
659, 470
-349, 322
44, 27
-544, 619
208, -50
